City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
191,Guaruja,BR,-23.9931,-46.2564,78.01,26,0,4.21,clear sky,2021-04-11 03:10:13
192,Husavik,IS,66.0449,-17.3389,24.8,63,0,3.44,clear sky,2021-04-11 03:12:32
193,Bredasdorp,ZA,-34.5322,20.0403,53.6,94,100,4.61,overcast clouds,2021-04-11 03:12:32
194,Pisco,PE,-13.7,-76.2167,68.0,77,0,4.61,clear sky,2021-04-11 03:09:19
195,Guerrero Negro,MX,27.9769,-114.0611,60.44,82,100,16.55,overcast clouds,2021-04-11 03:12:33
196,Weligama,LK,5.9667,80.4167,81.63,74,12,1.32,few clouds,2021-04-11 03:12:33
197,Cody,US,44.5263,-109.0565,35.01,80,90,24.16,overcast clouds,2021-04-11 03:10:43
198,Mayna,RU,54.1135,47.6231,34.56,99,100,6.93,overcast clouds,2021-04-11 03:12:33
199,Lingyuan,CN,41.24,119.4011,61.9,30,100,17.45,overcast clouds,2021-04-11 03:12:34
200,Saint-Pierre,RE,-21.3393,55.4781,78.8,73,0,6.91,clear sky,2021-04-11 03:12:34
201,Pakxan,LA,18.3778,103.6601,87.13,52,83,1.68,light rain,2021-04-11 03:12:35
202,Neiafu,TO,-18.65,-173.9833,80.6,78,40,4.41,scattered clouds,2021-04-11 03:12:35
203,Goderich,CA,43.7501,-81.7165,66.2,52,100,19.57,overcast clouds,2021-04-11 03:12:35
204,Sakakah,SA,29.9697,40.2064,50.0,46,0,10.36,clear sky,2021-04-11 03:10:55
205,Esmeraldas,BR,-19.7625,-44.3139,66.2,82,0,2.3,clear sky,2021-04-11 03:12:36
206,Hasaki,JP,35.7333,140.8333,64.0,54,75,6.91,broken clouds,2021-04-11 03:12:36
207,Wukari,NG,7.85,9.7833,81.03,68,100,8.68,overcast clouds,2021-04-11 03:12:37
208,Brockville,CA,44.5834,-75.6826,59.0,94,40,4.7,scattered clouds,2021-04-11 03:12:14
209,Namatanai,PG,-3.6667,152.4333,82.17,79,98,10.16,light rain,2021-04-11 03:12:37
210,San Juan,AR,-31.5375,-68.5364,52.09,78,72,3.56,broken clouds,2021-04-11 03:12:37
211,Saint Anthony,US,45.0205,-93.218,46.99,71,90,8.05,overcast clouds,2021-04-11 03:12:38
212,Marsassoum,SN,12.8275,-15.9806,71.6,88,0,2.3,clear sky,2021-04-11 03:12:38
213,Oktyabrskiy,RU,54.4815,53.471,42.96,77,100,15.26,light rain,2021-04-11 03:12:38
214,Faanui,PF,-16.4833,-151.75,82.6,70,41,8.55,scattered clouds,2021-04-11 03:09:32
215,Jamalpur,BD,24.9167,89.9333,86.16,57,1,7.67,clear sky,2021-04-11 03:12:39
216,Kodiak,US,57.79,-152.4072,33.8,69,90,10.36,overcast clouds,2021-04-11 03:06:01
217,Veraval,IN,20.9,70.3667,82.17,51,0,12.28,clear sky,2021-04-11 03:12:39
218,Rognan,NO,67.0953,15.3878,34.0,93,100,1.01,light snow,2021-04-11 03:12:40
219,Kaitangata,NZ,-46.2817,169.8464,63.0,84,98,7.0,light rain,2021-04-11 03:12:40
220,La Asuncion,VE,11.0333,-63.8628,80.6,83,100,9.22,overcast clouds,2021-04-11 03:12:41
221,Khandyga,RU,62.6667,135.6,20.91,94,100,8.72,snow,2021-04-11 03:12:41
222,Salalah,OM,17.0151,54.0924,78.8,73,20,2.3,few clouds,2021-04-11 03:08:28
223,Salinopolis,BR,-0.6136,-47.3561,78.44,87,100,8.75,overcast clouds,2021-04-11 03:12:41
224,Grand Gaube,MU,-20.0064,57.6608,79.0,73,100,5.99,overcast clouds,2021-04-11 03:12:42
225,Mar Del Plata,AR,-38.0023,-57.5575,64.4,72,90,20.71,overcast clouds,2021-04-11 03:11:30
226,Vernon,CA,50.2581,-119.2691,44.6,22,32,4.61,scattered clouds,2021-04-11 03:12:16
227,Tuatapere,NZ,-46.1333,167.6833,57.99,87,100,5.99,overcast clouds,2021-04-11 03:12:43
228,Severo-Kurilsk,RU,50.6789,156.125,31.42,75,29,23.82,scattered clouds,2021-04-11 03:12:43
229,Belmonte,BR,-15.8631,-38.8828,73.4,88,20,4.61,few clouds,2021-04-11 03:12:44
230,Fallon,US,39.4735,-118.7774,62.6,15,1,8.05,clear sky,2021-04-11 03:12:44
231,Grand Forks,US,47.9417,-97.4337,44.6,80,1,5.77,clear sky,2021-04-11 03:12:44
232,Lebu,CL,-37.6167,-73.65,51.03,87,6,6.78,clear sky,2021-04-11 03:09:30
233,Rio Cuarto,AR,-33.1307,-64.3499,51.01,86,2,14.0,clear sky,2021-04-11 03:12:45
234,Qui Nhon,VN,13.7667,109.2333,83.19,67,91,9.37,overcast clouds,2021-04-11 03:08:16
235,Victoria,HK,22.2855,114.1577,75.0,74,19,3.0,few clouds,2021-04-11 03:12:45
236,Tanout,NE,14.9709,8.8879,78.87,7,91,11.59,overcast clouds,2021-04-11 03:08:09
237,Ugoofaaru,MV,5.6667,73.0,82.96,69,2,0.94,clear sky,2021-04-11 03:12:46
238,Medea,DZ,36.2642,2.7539,59.0,88,40,4.61,scattered clouds,2021-04-11 03:12:46
